sample	mach	seq_date	initial	passed_filter_reads	low_quality_reads	too_many_n_reads	too_short_reads	too_long_reads	raw_total_reads	raw_total_bases	raw_q20_bases	raw_q30_bases	raw_q20_rate	raw_q30_rate	raw_read1_mean_length	raw_read2_mean_length	raw_gc_content	total_reads	total_bases	q20_bases	q30_bases	q20_rate	q30_rate	read1_mean_length	read2_mean_length	gc_content	homozygosity	heterozygosity	genomesize	repeatsize	uniquesize	modelfit	errorrate	num_contigs	num_contigs_mitochondrion	num_contigs_plastid	num_contigs_prokarya	bp_mitochondrion	bp_plastid	bp_prokarya	complete	single_copy	multi_copy	fragmented	missing	n_markers	domain	number_of_scaffolds	number_of_contigs	total_length	percent_gaps	scaffold_n50	contigs_n50	unique_k_mers_assembly	k_mers_total	qv	error	k_mer_set	solid_k_mers	total_k_mers	completeness	depmethod	adjust	readbp	mapadjust	scdepth	estgenomesize
OG110	NOVA	240716	AMD	340156980	4766294	77808	10018542	0	355019624	52741722959	50757145776	47896693439	0.962372	0.908137	148	148	0.415225	340156980	50707269694	49093247223	46422846913	0.96817	0.915507	149	149	0.413901	99.5215%	0.491348%	716,085,716	77,118,379	638,967,337	99.1539%	0.240773%	13083105	25	15	16	54201	29465	25787	69.4	68.7	0.7	13.5	17.1	3640	eukaryota	123812	123812	789748088	0.000%	20594	20594	22354	787271848	58.6898	1.35213e-06	all	672594977	726662207	92.5595	mpileup	IndelRatio	50707269694	0.999133320159449	60.57	837829239
OG189	NOVA	240716	AMD	351141624	5510852	1492634	27071822	0	385216932	55381526382	53240550438	50259733665	0.961341	0.907518	143	143	0.418258	351141624	52172699078	50502352594	47757177176	0.967984	0.915367	148	148	0.414342	99.4522%	0.589852%	779,486,020	151,241,643	628,244,377	96.5005%	0.236413%	13595658	6	2	12	24358	2368	17940	78	77.2	0.8	10.7	11.3	3640	eukaryota	153329	153329	810307899	0.000%	24163	24163	26372	807241319	58.0807	1.5557e-06	all	696278299	762104936	91.3625	mpileup	IndelRatio	52172699078	0.999275040521846	56.73	920254708
OG192	NOVA	240716	AMD	322675964	5000178	128142	11519138	0	339323422	50166432574	48192631630	45459353663	0.960655	0.906171	147	147	0.414669	322675964	48043788120	46485680477	43947757424	0.967569	0.914744	148	148	0.412085	99.2737%	0.756744%	741,443,998	102,720,867	638,723,132	97.5322%	0.28645%	15096153	179	257	32	294140	329734	39098	73.8	73	0.8	11.3	14.9	3640	eukaryota	228625	228625	863180658	0.000%	17596	17596	78192	858608158	53.6283	4.33677e-06	all	701318390	773955896	90.6148	mpileup	IndelRatio	48043788120	0.999308802740412	55.72	862759426
OG194	NOVA	240716	AMD	279426782	4380968	127732	12153874	0	296089356	43506217733	41855757254	39562511790	0.962064	0.909353	146	146	0.399892	279426782	41507376392	40178719384	38049558034	0.96799	0.916694	148	148	0.398324	99.0815%	0.940189%	726,384,142	87,275,856	639,108,287	99.0973%	0.343481%	14365545	134	22	15	243118	30209	21304	69.5	68.8	0.7	12.4	18.1	3640	eukaryota	275867	275867	852484337	0.000%	8776	8776	45736	846966997	55.8982	2.57148e-06	all	698914337	789029595	88.579	mpileup	IndelRatio	41507376392	0.999272359012349	46.9	885725831
OG227	NOVA	240716	AMD	1719121590	41812794	671680	72846272	0	1834452336	271490008244	258631057843	242509913843	0.952636	0.893255	148	147	0.442107	1719121590	256036152609	246791097367	232303486661	0.963892	0.907307	148	148	0.436354	99.8465%	0.179078%	2,396,053,756	462,886,386	1,933,167,370	98.5027%	0.314655%	52331507	1091	130	213	2090779	226646	463098	33.2	32.1	1.1	40.3	26.5	3354	eukaryota	454636	454636	2863363206	0.000%	16381	16381	99742	2854270486	57.7883	1.66407e-06	all	2062868671	2142550015	96.281	mpileup	IndelRatio	256036152609	0.999787783150162	75	3414691603
OG31	NOVA	240716	AMD	1503147640	31686184	374216	42663520	0	1577871560	234340579502	224945073103	212112772898	0.959907	0.905147	148	148	0.440821	1503147640	224172736180	217043404913	205248802814	0.968197	0.915583	149	149	0.436728	99.752%	0.269323%	2,115,304,501	320,598,186	1,794,706,315	98.0388%	0.245996%	44217941	1253	127	189	2375751	211579	399087	30.9	29.9	1	40	29.1	3354	eukaryota	393113	393114	2631677293	0.000%	15890	15890	81281	2623814486	58.3116	1.47517e-06	all	1926395272	1997760821	96.4277	mpileup	IndelRatio	224172736180	0.999900734876456	81.14	2763194498
OG32	NOVA	240716	AMD	1833717620	39600420	1079216	84722888	0	1959120144	287631836762	276450525208	261249071661	0.961126	0.908276	146	146	0.442087	1833717620	272708362304	264459155585	250617403297	0.969751	0.918994	148	148	0.437805	99.7912%	0.227796%	2,123,197,622	317,513,750	1,805,683,872	98.2525%	0.238018%	44873711	1376	109	182	2659886	202257	358631	29.1	28	1.1	41.3	29.6	3354	eukaryota	402221	402221	2637407196	0.000%	15550	15550	80308	2629362776	58.373	1.45444e-06	all	1927910701	1998989375	96.4443	mpileup	IndelRatio	272708362304	0.999883867067269	93.92	2903961515
OG33	NOVA	240716	AMD	375956196	4771988	64624	8141850	0	388934658	57951400988	55775362734	52581253988	0.962451	0.907334	149	148	0.413305	375956196	56116568502	54264790258	51242964161	0.967001	0.913152	149	149	0.412546	99.4881%	0.51841%	663,252,879	38,595,279	624,657,600	98.9154%	0.251895%	10654580	5	2	6	22874	2336	9445	82.7	82.2	0.5	8	9.3	3640	eukaryota	61118	61118	692609859	0.000%	35509	35509	16339	691387499	59.4871	1.12535e-06	all	644089540	700195634	91.9871	mpileup	IndelRatio	56116568502	0.999152986066933	75.82	740720903
OG37	NOVA	240716	AMD	357425404	6527052	98262	9986078	0	374036796	55521398672	53348905214	50388787546	0.960871	0.907556	148	148	0.441885	357425404	53294773193	51573169963	48823469352	0.967697	0.916102	149	149	0.439932	99.3446%	0.662415%	555,816,795	35,875,388	519,941,407	98.963%	0.239922%	9765351	8	5	4	26597	5400	8023	77.2	76.5	0.7	10.1	12.7	3640	eukaryota	93165	93165	600195691	0.000%	20385	20385	14657	598332391	59.3311	1.16651e-06	all	543790307	601450224	90.4132	mpileup	IndelRatio	53294773193	0.998928412117845	88.34	603959686
OG59	NOVA	240716	AMD	326041614	5010062	142862	10151000	0	341345538	50455414396	48334254091	45371458321	0.95796	0.899239	147	147	0.424331	326041614	48578161474	46800119469	44011005169	0.963398	0.905983	149	148	0.422957	98.162%	1.86516%	544,042,426	54,789,721	489,252,705	95.6132%	0.370011%	14826382	91	43	59	143886	57448	93099	54.6	52.7	1.9	14.6	30.8	3640	eukaryota	428359	428359	824829282	0.000%	2626	2626	48408	816262102	55.4912	2.8241e-06	all	611941831	696117297	87.9079	mpileup	IndelRatio	48578161474	0.999413787313688	77.33	628536801
