og_id	tech	seq_date	code	stats	length	length_emma	seqlength_12s	seqlength_16s	seqlength_co1	cds_no	trna_no	rrna_no	status	genbank	rrna12s	rrna16s	atp6	atp8	cox1	cox2	cox3	cytb	nad1	nad2	nad3	nad4	nad4l	nad5	mad6	trna_phe	trna_val	trna_leuuag	trna_leuuaa	trna_ile	trna_met	trna_thr	trna_pro	trna_lys	trna_asp	trna_glu	trna_sergcu	trna_seruga	trna_tyr	trna_cys	trna_trp	trna_ala	trna_asn	trna_gly	trna_arg	trna_his	trna_gln
OG1	hic	240405	v177getorg	circular genome	16511	16511	951	1695	1548	13	22	2	all		952	1698	684	168	1551	691	785	1141	975	1046	349	1381	297	1839	522	68	72	73	74	70	69	72	70	75	72	69	68	71	70	67	72	69	73	72	69	69	71
OG1	hifi	230525	v3mitohifi	circular genome	16511	16511	951	1695	1548	13	22	2	all	OG1.hifi.230525.v3mitohifi [organism=Lutjanus fulviflamma]  Lutjanus fulviflamma mitochondrion, complete genome	952	1698	684	168	1551	691	785	1141	975	1046	349	1381	297	1839	522	68	72	73	74	70	69	72	70	75	72	69	68	71	70	67	72	69	73	72	69	69	71
OG10	hic	230912	v177getorg	circular genome	16510	16510	948	1695	1548	13	22	2	all		951	1698	684	168	1551	691	785	1141	975	1046	349	1381	297	1839	522	68	72	73	74	70	69	72	70	75	72	69	68	71	70	68	72	69	73	72	69	69	71
OG10	hifi	230209	v3mitohifi	circular genome	16510	16510	948	1695	1548	13	22	2	all	OG10.hifi.230209.v3mitohifi [organism=Lutjanus quinquelineatus]  Lutjanus quinquelineatus mitochondrion, complete genome	951	1698	684	168	1551	691	785	1141	975	1046	349	1381	297	1839	522	68	72	73	74	70	69	72	70	75	72	69	68	71	70	68	72	69	73	72	69	69	71
OG100	hifi	240116	v3mitohifi	not circular	20001	20001	945	1695	1548	13	22	2	all		947	1697	684	210	1551	691	394	1141	975	1046	349	1381	297	1857	522	69	73	72	76	72	69	73	70	74	71	69	70	71	70	67	70	71	73	73	69	69	72
OG101	hic	240301	v177getorg	circular genome	16514	16514	945	1695	1548	13	22	2	all		948	1696	684	168	1551	691	785	1142	975	1046	349	1381	297	1839	522	68	72	73	74	70	69	72	70	75	72	69	68	71	71	67	73	69	73	72	69	69	71
OG101	hifi	240206	v3mitohifi	circular genome	16514	16514	945	1695	1548	13	22	2	all	OG101.hifi.240206.v3mitohifi [organism=Parequula melbournensis]  Parequula melbournensis mitochondrion, complete genome	948	1696	684	168	1551	691	785	1142	975	1046	349	1381	297	1839	522	68	72	73	74	70	69	72	70	75	72	69	68	71	71	67	73	69	73	72	69	69	71
OG103	ilmn	240313	v177getorg	circular genome	16437	16437	948	1677	1548	13	22	2	all		950	1680	684	189	1551	691	785	1141	975	1045	349	1381	297	1839	522	68	72	73	74	71	69	72	71	75	72	69	68	71	70	67	70	69	73	72	69	69	71
OG105	hifi	231027	v3mitohifi	circular genome	16535	16535	948	1686	1548	13	22	2	all	OG105.hifi.231027.v3mitohifi [organism=Centroberyx gerrardi]  Centroberyx gerrardi mitochondrion, complete genome	949	1687	684	168	1551	691	785	1141	975	1046	349	1381	297	1839	522	69	73	73	74	71	69	72	70	75	73	69	68	71	68	66	73	69	73	73	70	69	71
OG107	hic	240501	v177getorg	7 scaffold(s)	14650	14650	948	1695	1476	11	20	2	missing		950	1696	270	168	1479	724	641	1141	975	1046	349	331		1680		68	72	73	74	69	69	72	69	75		69	68		71	65	71	69	73	72	69	69	71
OG107	hifi	240125	v3mitohifi	circular genome	17093	17093	948	1695	1557	13	22	2	all		950	1696	684	168	1560	691	785	1141	975	1046	349	1381	297	1839	522	68	72	73	74	69	69	72	69	75	71	69	68	71	71	65	71	69	73	72	69	69	71
OG108	hic	240522	v177getorg	circular genome	16502	16502	948	1695	1548	13	22	2	all		951	1698	684	168	1551	691	785	1141	975	1046	349	1381	297	1839	522	69	72	73	74	70	73	72	69	74	72	69	67	71	70	66	71	69	73	72	69	69	71
OG108	hifi	231027	v3mitohifi	circular genome	16504	16504	948	1695	1548	13	22	2	all		951	1698	684	168	1551	691	785	1141	975	1046	349	1381	297	1839	276	69	72	73	74	70	73	72	69	74	72	69	67	71	70	66	71	69	73	72	69	69	71
OG11	hic	240207	v177getorg	2 scaffold(s)	16321	16321	966	1698	1557	13	22	2	all		968	1701	684	168	1560	691	785	1141	975	1046	349	601	297	1839	525	69	72	73	73	70	69	72	67	75	72	69	67	71	70	66	72	69	73	72	70	69	71
OG11	hifi	230825	v3mitohifi	circular genome	16544	16544	966	1698	1557	13	22	2	all	OG11.hifi.230825.v3mitohifi [organism=Symphorus nematophorus]  Symphorus nematophorus mitochondrion, complete genome	968	1701	684	168	1560	691	785	1141	975	1046	349	1381	297	1839	525	69	72	73	73	70	69	72	70	75	72	69	67	71	70	66	72	69	73	72	70	69	71
OG11	ilmn	230814	v177getorg	circular genome	16544	16544	966	1698	1557	13	22	2	all		968	1701	684	168	1560	691	785	1141	975	1046	349	1381	297	1839	525	69	72	73	73	70	69	72	70	75	72	69	67	71	70	66	72	69	73	72	70	69	71
OG110	ilmn	240716	getorg1770	circular genome	16508	16508	951	1695	1548	13	22	2	all		952	1697	684	168	1551	691	785	1141	975	1046	349	1381	297	1839	522	69	72	73	74	70	73	72	69	74	72	69	67	71	70	66	71	69	73	72	69	69	71
OG113	hic	240522	v177getorg	circular genome	16517	16517	951	1677	1554	13	22	2	all		954	1678	684	168	1557	691	785	1141	975	1045	349	1381	297	1839	522	68	72	73	74	70	69	73	69	74	69	69	67	71	67	66	72	69	73	72	70	69	71
OG113	hifi	231027	v3mitohifi	circular genome	16517	16517	951	1677	1554	13	22	2	all	OG113.hifi.231027.v3mitohifi [organism=Diodon nicthemerus]  Diodon nicthemerus mitochondrion, complete genome	954	1678	684	168	1557	691	785	1141	975	1045	349	1381	297	1839	522	68	72	73	74	70	69	73	69	74	69	69	67	71	67	66	72	69	73	72	70	69	71
OG114	hifi	240116	v3mitohifi	circular genome	17568	17568	954	1710	1557	13	22	2	all	OG114.hifi.240116.v3mitohifi [organism=Leviprora inops]  Leviprora inops mitochondrion, complete genome	956	1712	684	165	1560	691	785	1141	975	1053	349	1381	297	1839	522	70	73	73	76	70	70	74	70	75	73	69	68	71	70	67	71	69	73	73	70	69	71
OG115	hic	240613	getorg1770	circular genome	16478	16478	948	1686	1551	13	22	2	all		950	1689	684	168	1554	691	786	1141	975	1046	349	1381	297	1839	522	68	72	73	74	70	69	72	70	75	73	69	68	71	71	67	72	69	73	72	69	69	71
